Sport,City,State,Team,Years Played
NFL,Kansas City,Missouri,Kansas City Chiefs,2001-2018
NFL,Los Angeles,California,Los Angeles Chargers,2017-2018
NFL,Los Angeles,California,Los Angeles Rams,2016-2018
NFL,Miami,Florida,Miami Dolphins,2001-2018
NFL,Minneapolis,Minnesota,Minnesota Vikings,2001-2018
NFL,Foxborough,Massachusetts,New England Patriots,2001-2018
NFL,New Orleans,Louisiana,New Orleans Saints,2001-2018
NFL,East Rutherford,New Jersey,New York Giants,2001-2018
NFL,East Rutherford,New Jersey,New York Jets,2001-2018
NFL,Oakland,California,Oakland Raiders,2001-2018
NFL,Philadelphia,Pennsylvania,Philadelphia Eagles,2001-2018
NFL,Pittsburgh,Pennsylvania,Pittsburgh Steelers,2001-2018
NFL,San Diego,California,San Diego Chargers,2001-2016
NFL,San Francisco,California,San Francisco 49ers,2001-2018
NFL,Seattle,Washington,Seattle Seahawks,2001-2018
NFL,St. Louis,Missouri,St. Louis Rams,2001-2016
NFL,Tampa,Florida,Tampa Bay Buccaneers,2001-2018
NFL,Nashville,Tennessee,Tennessee Titans,2001-2018
NFL,Landover,Maryland,Washington Redskins,2001-2018
NHL,Anaheim,California,Anaheim Ducks,2001-2018
NHL,Tempe,Arizona,Arizona Coyotes,2014-2018
NHL,Atlanta,Georgia,Atlanta Thrashers,2001-2011
NHL,Boston,Massachusetts,Boston Bruins,2001-2018
NHL,Buffalo,New York,Buffalo Sabres,2001-2018
NHL,Calgary,Alberta,Calgary Flames,2001-2018
NHL,Raleigh,North Carolina,Carolina Hurricanes,2001-2018
NHL,Chicago,Illinois,Chicago Blackhawks,2001-2018
NHL,Denver,Colorado,Colorado Avalanche,2001-2018
NHL,Columbus,Ohio,Columbus Blue Jackets,2001-2018
NHL,Dallas,Texas,Dallas Stars,2001-2018
NHL,Detroit,Michigan,Detroit Red Wings,2001-2018
NHL,Edmonton,Alberta,Edmonton Oilers,2001-2018
NHL,Sunrise,Florida,Florida Panthers,2001-2018
NHL,Los Angeles,California,Los Angeles Kings,2001-2018
NHL,St. Paul,Minnesota,Minnesota Wild,2001-2018
NHL,Montreal,Quebec,Montreal Canadiens,2001-2018
NHL,Nashville,Tennessee,Nashville Predators,2001-2018
NHL,Newark,New Jersey,New Jersey Devils,2001-2018
NHL,Elmont,New York,New York Islanders,2001-2018
NHL,New York,New York,New York Rangers,2001-2018
NHL,Ottawa,Ontario,Ottawa Senators,2001-2018
NHL,Philadelphia,Pennsylvania,Philadelphia Flyers,2001-2018
NHL,Phoenix,Arizona,Phoenix Coyotes,2001-2013
NHL,Pittsburgh,Pennsylvania,Pittsburgh Penguins,2001-2018
NHL,San Jose,California,San Jose Sharks,2001-2018
NHL,Seattle,Washington,Seattle Kraken,2001-2018
NHL,St. Louis,Missouri,St. Louis Blues,2001-2018
NHL,Tampa Bay,Florida,Tampa Bay Lightning,2001-2018
NHL,Toronto,Ontario,Toronto Maple Leafs,2001-2018
NHL,Vancouver,British Columbia,Vancouver Canucks,2001-2018
NHL,Las Vegas,Nevada,Vegas Golden Knights,2017-2018
NHL,Washington D.C.,Washington D.C.,Washington Capitals,2001-2018
NHL,Winnipeg,Manitoba,Winnipeg Jets,2011-2018
