,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2001-02,MIA,82,36,46,0.439,19930,2801,6382,2489,5483,312,899,1236,1708,902,2544,3446,1664,547,448,1217,1846,7150,0.439,0.454,0.347,0.724,0.501,0.463
2001-02,MIL,82,41,41,0.5,19905,3041,6577,2448,4994,593,1583,1321,1767,841,2557,3398,1847,596,388,1157,1788,7996,0.462,0.49,0.375,0.748,0.544,0.507
2001-02,MIN,82,50,32,0.61,19805,3175,6887,2779,5840,396,1047,1399,1754,1059,2562,3621,1993,524,427,1097,1739,8145,0.461,0.476,0.378,0.798,0.532,0.49
2001-02,NJN,82,52,30,0.634,19830,3042,6816,2639,5622,403,1194,1402,1907,1039,2515,3554,1990,716,490,1189,1734,7889,0.446,0.469,0.338,0.735,0.515,0.476
2001-02,NYK,82,30,52,0.366,19805,2817,6520,2343,5176,474,1344,1406,1786,876,2458,3334,1720,558,288,1192,1800,7514,0.432,0.453,0.353,0.787,0.514,0.468
2001-02,SEA,82,45,37,0.549,19830,3131,6681,2642,5389,489,1292,1263,1672,968,2333,3301,1926,698,364,1124,1732,8014,0.469,0.49,0.378,0.755,0.54,0.505
2001-02,ORL,82,44,38,0.537,19830,3087,6893,2467,5233,620,1660,1446,1917,942,2440,3382,1804,665,384,1119,1700,8240,0.448,0.471,0.373,0.754,0.533,0.493
2001-02,PHI,82,43,39,0.524,19730,2804,6436,2590,5721,214,715,1639,2104,1092,2534,3626,1638,705,363,1256,1645,7461,0.436,0.453,0.299,0.779,0.507,0.452
2001-02,PHO,82,36,46,0.439,19830,3097,6934,2739,5838,358,1096,1250,1630,1072,2430,3502,1838,668,401,1205,1785,7802,0.447,0.469,0.327,0.767,0.51,0.472
2001-02,POR,82,49,33,0.598,19830,3004,6671,2538,5353,466,1318,1451,1901,1085,2444,3529,1926,702,368,1172,1613,7925,0.45,0.474,0.354,0.763,0.528,0.485
2001-02,SAC,82,61,21,0.744,19755,3267,7003,2841,5843,426,1160,1618,2154,1013,2702,3715,1958,741,375,1128,1560,8578,0.467,0.486,0.367,0.751,0.539,0.497
2001-02,SAS,82,58,24,0.707,19855,2913,6363,2475,5152,438,1211,1668,2249,907,2566,3473,1643,625,537,1180,1575,7932,0.458,0.48,0.362,0.742,0.539,0.492
2001-02,TOR,82,42,40,0.512,19755,2919,6727,2532,5618,387,1109,1269,1717,1114,2336,3450,1779,688,454,1174,1771,7494,0.434,0.451,0.349,0.739,0.501,0.463
2001-02,UTA,82,44,38,0.537,19830,2869,6374,2589,5532,280,842,1853,2430,1109,2349,3458,1999,749,523,1353,1971,7871,0.45,0.468,0.333,0.763,0.529,0.472
2001-02,WAS,82,37,45,0.451,19730,2938,6664,2633,5878,305,786,1428,1866,1055,2393,3448,1715,570,354,1068,1763,7609,0.441,0.448,0.388,0.765,0.508,0.464
2002-03,ATL,82,35,47,0.427,19905,2859,6434,2457,5293,402,1141,1594,2011,937,2558,3495,1679,611,473,1367,1783,7714,0.444,0.464,0.352,0.793,0.527,0.476
2002-03,BOS,82,44,38,0.537,19830,2700,6509,1981,4354,719,2155,1480,1994,849,2471,3320,1575,720,303,1147,1758,7599,0.415,0.455,0.334,0.742,0.514,0.47
