year,league_id,division_id,rank,games_played,home_games,wins,losses,division_winner,wild_card_winner,league_winner,world_series_winner,runs_scored,at_bats,hits,doubles,triples,homeruns,walks,strikeouts_by_batters,stolen_bases,caught_stealing,batters_hit_by_pitch,sacrifice_flies,opponents_runs_scored,earned_runs_allowed,earned_run_average,complete_games,shutouts,saves,outs_pitches,hits_allowed,homeruns_allowed,walks_allowed,strikeouts_by_pitchers,errors,double_plays,fielding_percentage,team_name,ball_park,home_attendance
2001,NL,C,2,162,82,93,69,N,Y,N,N,814,5450,1469,274,32,199,529,1089,91,35,65,50,684,627,3.93,8,11,38,4306,1389,196,526,1083,110,156,0.982,St. Louis Cardinals,Busch Stadium II,3109578
2001,AL,E,5,162,81,62,100,N,N,N,N,672,5524,1426,311,21,121,456,1116,115,52,54,25,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144,0.977,Tampa Bay Devil Rays,Tropicana Field,1298365
2001,AL,W,4,162,82,73,89,N,N,N,N,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,Texas Rangers,The Ballpark at Arlington,2831021
2001,AL,E,3,162,82,80,82,N,N,N,N,767,5663,1489,287,36,195,470,1094,156,55,74,43,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184,0.985,Toronto Blue Jays,Skydome,1915438
2002,AL,W,2,162,81,99,63,N,Y,Y,Y,851,5678,1603,333,32,152,462,805,117,51,74,64,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151,0.986,Anaheim Angels,Edison International Field,2305547
2002,NL,W,1,162,81,98,64,Y,N,N,N,819,5508,1471,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.985,Arizona Diamondbacks,Bank One Ballpark,3198977
2002,NL,E,1,161,81,101,59,Y,N,N,N,708,5495,1428,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.982,Atlanta Braves,Turner Field,2603484
2002,AL,E,4,162,81,67,95,N,N,N,N,667,5491,1353,311,27,165,452,993,110,48,64,49,773,719,4.46,8,3,31,4352,1491,208,549,967,91,173,0.985,Baltimore Orioles,Oriole Park at Camden Yards,2682439
2002,AL,E,2,162,81,93,69,N,N,N,N,859,5640,1560,348,33,177,545,944,80,28,72,53,665,603,3.75,5,17,51,4338,1339,146,430,1157,104,140,0.983,Boston Red Sox,Fenway Park II,2650862
2002,AL,C,2,162,81,81,81,N,N,N,N,856,5502,1475,289,29,217,555,952,75,31,49,53,798,716,4.53,7,7,35,4269,1422,190,528,945,97,157,0.984,Chicago White Sox,Comiskey Park II,1676911
2002,NL,C,5,162,78,67,95,N,N,N,N,706,5496,1351,259,29,200,585,1269,63,21,44,39,759,687,4.29,11,9,23,4324,1373,167,606,1333,114,144,0.981,Chicago Cubs,Wrigley Field,2693096
2002,NL,C,3,162,80,78,84,N,N,N,N,709,5470,1386,297,21,169,583,1188,116,52,66,40,774,690,4.27,2,8,42,4361,1502,173,550,980,120,169,0.981,Cincinnati Reds,Cinergy Field,1855787
2002,AL,C,3,162,81,74,88,N,N,N,N,739,5423,1349,255,26,192,542,1000,52,37,56,39,837,777,4.91,9,4,34,4274,1508,142,603,1058,113,161,0.981,Cleveland Indians,Jacobs Field,2616940
2002,NL,W,4,162,81,73,89,N,N,N,N,778,5512,1508,283,41,152,497,1043,103,53,56,50,898,825,5.2,1,8,43,4280,1554,225,582,920,112,158,0.982,Colorado Rockies,Coors Field,2737838
2002,AL,C,5,161,80,55,106,N,N,N,N,575,5406,1340,265,37,124,363,1035,65,44,64,57,864,773,4.92,11,7,33,4242,1593,163,463,794,142,148,0.977,Detroit Tigers,Comerica Park,1503623
2002,NL,E,4,162,81,79,83,N,N,N,N,699,5496,1433,280,32,146,595,1130,177,73,61,49,763,706,4.36,11,12,36,4369,1449,151,631,1104,106,163,0.983,Florida Marlins,Pro Player Stadium,813118
2002,NL,C,2,162,81,84,78,N,N,N,N,749,5503,1441,291,32,167,589,1120,71,27,59,37,695,642,4,2,11,43,4335,1423,151,546,1219,83,149,0.986,Houston Astros,Minute Maid Park,2517357
2002,AL,C,4,162,77,62,100,N,N,N,N,737,5535,1415,285,42,140,524,921,140,65,52,51,891,834,5.21,12,6,30,4323,1587,212,572,909,130,153,0.979,Kansas City Royals,Kauffman Stadium,1323036
2002,NL,W,3,162,81,92,70,N,N,N,N,713,5554,1464,286,29,155,428,940,96,37,53,44,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.985,Los Angeles Dodgers,Dodger Stadium,3131255
2002,NL,C,6,162,81,56,106,N,N,N,N,627,5415,1369,269,29,139,500,1125,94,50,55,34,821,752,4.73,7,4,32,4297,1468,199,666,1026,103,154,0.983,Milwaukee Brewers,Miller Park,1969153
2002,AL,C,1,161,81,94,67,Y,N,N,N,768,5582,1518,348,36,167,472,1089,79,62,56,52,712,662,4.12,8,9,47,4334,1454,184,439,1026,74,124,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,1924473
2002,NL,E,2,162,81,83,79,N,N,N,N,735,5479,1432,300,36,162,575,1104,118,64,46,42,718,641,3.97,9,3,39,4359,1475,165,508,1088,139,160,0.978,Montreal Expos,Stade Olympique,812045
2002,AL,E,1,161,80,103,58,Y,N,N,N,897,5601,1540,314,12,223,640,1171,100,38,72,41,697,625,3.87,9,11,53,4356,1441,144,403,1135,127,117,0.979,New York Yankees,Yankee Stadium II,3465807
2002,NL,E,5,161,78,75,86,N,N,N,N,690,5496,1409,238,22,160,486,1044,87,42,63,30,703,624,3.89,9,10,36,4328,1408,163,543,1107,144,138,0.976,New York Mets,Shea Stadium,2804838
2002,AL,W,1,162,81,103,59,Y,N,N,N,800,5558,1450,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.984,Oakland Athletics,Oakland Coliseum,2169811
2002,NL,E,3,161,79,80,81,N,N,N,N,710,5523,1428,325,41,165,640,1095,104,43,53,39,724,671,4.17,5,9,47,4349,1381,153,570,1075,88,156,0.986,Philadelphia Phillies,Veterans Stadium,1618467
2002,NL,C,4,161,79,72,89,N,N,N,N,641,5330,1300,263,20,142,537,1109,86,49,73,41,730,664,4.23,2,7,47,4238,1447,163,572,920,115,177,0.982,Pittsburgh Pirates,PNC Park,1784988
2002,NL,W,5,162,81,66,96,N,N,N,N,662,5515,1393,243,29,136,547,1062,71,44,30,41,815,737,4.62,5,10,40,4309,1522,177,582,1108,128,162,0.979,San Diego Padres,Qualcomm Stadium,2220601
2002,AL,W,3,162,81,93,69,N,N,N,N,814,5569,1531,285,31,152,629,1003,137,58,51,72,699,654,4.07,8,12,43,4336,1422,178,441,1063,88,134,0.985,Seattle Mariners,Safeco Field,3542938
2002,NL,W,2,162,81,95,66,N,Y,Y,N,783,5497,1465,300,35,198,616,961,74,21,65,52,616,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.985,San Francisco Giants,PacBell Park,3253203
2002,NL,C,1,162,81,97,65,Y,N,N,N,787,5505,1475,285,26,175,542,927,86,42,67,49,648,595,3.7,4,9,42,4339,1355,141,547,1009,103,168,0.983,St. Louis Cardinals,Busch Stadium II,3011756
