,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2002-03,NSH,82,27,35,13,7,74,183,58,2,2316,957,206,61,8,2252,1088,13.9,82.7,418,353,-23,,,,,
2002-03,NYI,82,35,34,11,2,83,224,58,12,2427,1218,231,67,5,2318,1200,15.1,83.5,384,405,-7,,,,,
2002-03,NYR,82,32,36,10,4,78,210,55,8,2465,1294,231,73,8,2426,1166,16.2,81.2,339,388,-21,,,,,
2002-03,OTT,82,52,21,8,1,113,263,83,4,2441,1117,182,50,8,2033,1357,21.2,84.9,391,332,81,,,,,
2002-03,PHI,82,45,20,13,4,107,211,47,8,2537,973,166,50,8,2019,975,14.3,85.2,328,338,45,,,,,
2002-03,PHX,82,31,35,11,5,78,204,55,4,2297,1411,230,77,11,2458,1387,14.3,81.3,385,412,-26,,,,,
2002-03,PIT,82,27,44,6,5,65,189,66,3,2079,1093,255,58,10,2535,971,18.3,83.5,360,352,-66,,,,,
2002-03,SJS,82,28,37,9,8,73,214,68,5,2303,1086,239,68,10,2392,1170,18.1,81,375,358,-25,,,,,
2002-03,STL,82,41,24,11,6,99,253,80,11,2301,1604,222,71,7,2047,1464,20.5,81.7,391,389,31,,,,,
2002-03,TBL,82,36,25,16,5,93,219,70,6,2395,1053,210,55,5,2298,1174,17.9,82.6,391,316,9,,,,,
2002-03,TOR,82,44,28,7,3,98,236,63,11,2152,1368,208,56,7,2423,1122,17.5,86.9,359,426,28,,,,,
2002-03,VAN,82,45,23,13,1,104,264,87,12,2388,1144,208,62,10,2185,1233,20.8,84.1,419,389,56,,,,,
2002-03,ATL,82,31,39,7,5,74,226,64,8,2163,1231,284,65,14,2593,1294,17.3,81.7,371,355,-58,,,,,
2002-03,WSH,82,39,29,8,6,92,224,57,8,2223,1246,220,72,4,2454,1109,17.2,81.3,331,384,4,,,,,
2003-04,MDA,82,29,35,10,8,76,184,56,5,2438,1119,213,54,4,2443,1041,18.1,84.7,310,353,-29,,,,,
2003-04,BOS,82,41,19,15,7,104,209,48,7,2500,1186,188,55,13,2280,1053,16,83.6,300,335,21,,,,,
2003-04,BUF,82,37,34,7,4,85,220,58,7,2301,1265,221,53,9,2340,1414,15.8,84.8,367,348,-1,,,,,
2003-04,CAR,82,28,34,14,6,76,172,41,9,2394,1086,209,66,9,2150,1229,10.7,81.6,384,359,-37,,,,,
2003-04,CBJ,82,25,45,8,4,62,177,58,5,2280,1187,238,50,14,2623,1314,14.5,85.2,401,337,-61,,,,,
2003-04,CGY,82,42,30,7,3,94,200,54,11,2248,1390,176,53,2,2090,1400,15.1,84.7,357,346,24,,,,,
