,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2016-17,TBL,82,42,30,,10,94,234,62,4,2452,875,227,48,8,2492,938,22.8,81.4,272,258,7,2376,2609,47.7,1842,1014
2016-17,TOR,82,40,27,,15,95,251,57,6,2617,799,242,44,7,2673,822,23.4,82.5,244,251,9,2523,2531,49.9,1936,1166
2016-17,VAN,82,30,43,,9,69,182,32,2,2273,648,243,52,6,2605,651,14.1,76.7,227,223,-61,2537,2423,51.1,1471,1034
2016-17,WPG,82,40,35,,7,87,249,48,10,2448,835,256,62,9,2546,795,18.2,77.5,264,275,-7,2364,2509,48.5,1906,1177
2016-17,WSH,82,55,19,,8,118,263,57,5,2495,750,182,44,3,2282,711,23,83.8,248,272,81,2385,2400,49.8,1727,1102
2017-18,ANA,82,44,25,,13,101,235,38,10,2475,818,216,46,4,2716,705,17.8,83.2,214,274,19,2499,2375,51.3,1949,1233
2017-18,BOS,82,50,20,,12,112,270,61,9,2703,778,214,40,10,2399,786,23.6,83.7,258,245,56,2577,2501,50.7,1914,1072
2017-18,BUF,82,25,45,,12,62,199,49,9,2557,673,280,52,10,2681,721,19.1,77.9,257,235,-81,2539,2388,51.5,1767,1082
2017-18,CAR,82,36,35,,11,83,228,44,3,2780,512,256,43,6,2367,582,18.4,77.5,239,191,-28,2594,2204,54.1,1597,1006
2017-18,CBJ,82,45,30,,7,97,242,39,4,2761,565,230,51,7,2567,600,17.2,76.2,227,214,12,2400,2558,48.4,1745,1218
2017-18,CGY,82,37,35,,10,84,218,43,7,2759,912,248,49,7,2554,916,16,81.8,269,269,-30,2496,2560,49.4,1639,1100
2017-18,CHI,82,33,39,,10,76,229,43,5,2793,613,256,49,7,2697,727,16,79.2,269,236,-27,2472,2547,49.3,1376,1199
2017-18,COL,82,43,30,,9,95,257,65,7,2432,731,237,45,13,2731,803,22,83.3,296,269,20,2134,2693,44.2,1633,1299
2017-18,DAL,82,42,32,,8,92,235,47,7,2560,830,225,54,10,2447,785,19.3,80.8,244,281,10,2701,2443,52.5,1861,1272
2017-18,DET,82,30,39,,13,73,217,41,9,2490,726,255,58,5,2613,681,17.5,77.6,234,259,-38,2447,2562,48.9,1606,1168
2017-18,EDM,82,36,40,,6,78,234,31,11,2740,752,263,57,5,2634,620,14.8,76.7,210,245,-29,2394,2523,48.7,2134,1275
2017-18,FLA,82,44,30,,8,96,248,47,10,2822,899,246,45,5,2838,961,18.9,80.2,249,227,2,2657,2579,50.7,1653,1172
2017-18,LAK,82,45,29,,8,98,239,49,5,2544,735,203,39,4,2537,680,20.4,85,240,260,36,2429,2455,49.7,2115,1198
